No.,取得日,会社名,会社所在地,施設名称,施設所在地（勤務地),URL,抽出元URL
1.0,2024/02/12,株式会社ARTH,東京都 中央区日本橋横山町3-14,あたら夜西伊豆,静岡県 伊豆市土肥324,https://www.atarayo-nishiizu.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=4292
2.0,2024/02/12,ヒューリックホテルマネジメント株式会社,東京都 中央区日本橋小舟町13-8,東京ベイ舞浜ホテル,千葉県 浦安市舞浜1-34,https://www.maihamahotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3697
3.0,2024/02/12,大手町タワーリゾーツ株式会社,東京都 千代田区大手町1-5-6 大手町タワー,アマン東京,東京都 千代田区大手町1-5-6 大手町タワー,https://www.aman.com/ja-jp/hotels/aman-tokyo,https://www.hotelkyujin.com/hotel-detail?c_no=2086
4.0,2024/02/12,ヒューリックホテルマネジメント株式会社,東京都 東京都中央区日本橋小舟町13番8号 ヒューリック株式会社 別館,THE GATE HOTEL 京都高瀬川 by HULIC,京都府 京都市中京区蛸薬師通河原町東入備前島町310-2,https://www.gate-hotel.jp/kyoto/,https://www.hotelkyujin.com/hotel-detail?c_no=3079
5.0,2024/02/12,ヒューリックホテルマネジメント株式会社,東京都 東京都中央区日本橋小舟町13番8号 ヒューリック株式会社 別館,THE GATE HOTEL 東京  by HULIC（ザ・ゲートホテル東京 by HULIC ）,東京都 千代田区有楽町2-2-3,https://gate-hotels.com/,https://www.hotelkyujin.com/hotel-detail?c_no=1311
6.0,2024/02/12,ヒューリックホテルマネジメント株式会社,京都府 中央区日本橋小舟町町13番8号 ヒューリックビル 別館,THE GATE HOTEL 横浜by HULIC（仮称）,神奈川県 横浜市中区山下町11番地,http://準備中,https://www.hotelkyujin.com/hotel-detail?c_no=4198
7.0,2024/02/12,MT＆ヒルトンホテル株式会社,東京都 港区東新橋1-9-1 コンラッド東京,コンラッド東京,東京都 港区東新橋1-9-1 コンラッド東京,https://conradtokyo.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3665
8.0,2024/02/12,TCホテルズ＆リゾーツ別府株式会社,大分県 別府市大字鉄輪499番地18,ＡＮＡインターコンチネンタル別府リゾート＆スパ,大分県 別府市大字鉄輪499番地18,https://www.ihg.com/intercontinental/hotels/jp/ja/beppu/oitky/hoteldetail,https://www.hotelkyujin.com/hotel-detail?c_no=2821
9.0,2024/02/12,ラグジュアリー・ホテル・インターナショナル・ジャパン株式会社,東京都 渋谷区恵比寿1-18-18 東急不動産恵比寿ビル2階,コートヤード・バイ・マリオット札幌,北海道 札幌市中央区南十条西1丁目1番57号,http://準備中,https://www.hotelkyujin.com/hotel-detail?c_no=4312
10.0,2024/02/12,合同会社エス・ホテルオペレーションズ羽田,東京都 大田区羽田1-2-11,メルキュール東京羽田エアポート,東京都 大田区羽田1-2-11,https://all.accor.com/hotel/B7G7/index.ja.shtml,https://www.hotelkyujin.com/hotel-detail?c_no=4136
11.0,2024/02/12,株式会社ホテルジャパン,東京都 渋谷区代々木2-9-6 久保ビル ５F,ホテルジャパン箱根,神奈川県 足柄下郡箱根町元箱根159,http://japantotalclub.co.jp/facilities/hakone/,https://www.hotelkyujin.com/hotel-detail?c_no=2223
12.0,2024/02/12,株式会社ハセベ,東京都 荒川区西日暮里5-27-5,ハセベ町屋イン,東京都 荒川区町屋1-3-8,https://www.hasebe.com/hotel/,https://www.hotelkyujin.com/hotel-detail?c_no=453
13.0,2024/02/12,株式会社マースプランニング,東京都 新宿区新宿1-10-7,マースガーデンホテル博多,福岡県 福岡市博多区博多駅中央街4-10,https://www.mars-gardenhotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=4323
